"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue May 02 16:28:08 IST 2023","Tue May 02 16:28:08 IST 2023","8","","Alerts verification: Verify different kinds of alert","","","","",""
"passed","Tue May 02 16:29:04 IST 2023","Tue May 02 16:29:12 IST 2023","8236","","Alerts verification: Verify different kinds of alert","","","","When I go to App Menu and then Alert Dialogues submenu",""
"passed","Tue May 02 16:29:15 IST 2023","Tue May 02 16:29:28 IST 2023","13181","","Alerts verification: Verify different kinds of alert","","","","Then Verify the alert title",""
"passed","Tue May 02 16:29:02 IST 2023","Tue May 02 16:29:04 IST 2023","1780","","Alerts verification: Verify different kinds of alert","","","","Given Launch app",""
"passed","Tue May 02 16:29:28 IST 2023","Tue May 02 16:29:28 IST 2023","164","","Alerts verification: Verify different kinds of alert","","","","And Close the app",""
"passed","Tue May 02 16:28:35 IST 2023","Tue May 02 16:28:35 IST 2023","92","","Alerts verification: Verify different kinds of alert","","","","And Accept or cancel the alert based on Ok",""
"passed","Tue May 02 16:28:19 IST 2023","Tue May 02 16:28:22 IST 2023","3443","","Alerts verification: Verify different kinds of alert","","","","And I click on OK Cancel dialog with a message",""
"passed","Tue May 02 16:29:02 IST 2023","Tue May 02 16:29:02 IST 2023","1","","Alerts verification: Verify different kinds of alert","","","","",""
"passed","Tue May 02 16:28:35 IST 2023","Tue May 02 16:28:35 IST 2023","1","","Alerts verification: Verify different kinds of alert","","","","",""
"passed","Tue May 02 16:29:28 IST 2023","Tue May 02 16:29:28 IST 2023","0","","Alerts verification: Verify different kinds of alert","","","","",""
"passed","Tue May 02 16:28:35 IST 2023","Tue May 02 16:28:35 IST 2023","0","","Alerts verification: Verify different kinds of alert","","","","",""
"passed","Tue May 02 16:29:02 IST 2023","Tue May 02 16:29:02 IST 2023","157","","Alerts verification: Verify different kinds of alert","","","","And Close the app",""
"passed","Tue May 02 16:29:02 IST 2023","Tue May 02 16:29:02 IST 2023","1","","Alerts verification: Verify different kinds of alert","","","","",""
"passed","Tue May 02 16:28:45 IST 2023","Tue May 02 16:28:48 IST 2023","3224","","Alerts verification: Verify different kinds of alert","","","","And I click on OK Cancel dialog with a message",""
"passed","Tue May 02 16:28:35 IST 2023","Tue May 02 16:28:35 IST 2023","82","","Alerts verification: Verify different kinds of alert","","","","And Close the app",""
"passed","Tue May 02 16:28:48 IST 2023","Tue May 02 16:29:02 IST 2023","13194","","Alerts verification: Verify different kinds of alert","","","","Then Verify the alert title",""
"passed","Tue May 02 16:28:08 IST 2023","Tue May 02 16:28:10 IST 2023","1884","","Alerts verification: Verify different kinds of alert","","","","Given Launch app",""
"passed","Tue May 02 16:29:28 IST 2023","Tue May 02 16:29:28 IST 2023","101","","Alerts verification: Verify different kinds of alert","","","","And Accept or cancel the alert based on Something",""
"passed","Tue May 02 16:28:37 IST 2023","Tue May 02 16:28:45 IST 2023","8011","","Alerts verification: Verify different kinds of alert","","","","When I go to App Menu and then Alert Dialogues submenu",""
"passed","Tue May 02 16:29:02 IST 2023","Tue May 02 16:29:02 IST 2023","104","","Alerts verification: Verify different kinds of alert","","","","And Accept or cancel the alert based on Cancel",""
"passed","Tue May 02 16:28:22 IST 2023","Tue May 02 16:28:35 IST 2023","13206","","Alerts verification: Verify different kinds of alert","","","","Then Verify the alert title",""
"passed","Tue May 02 16:28:35 IST 2023","Tue May 02 16:28:37 IST 2023","1808","","Alerts verification: Verify different kinds of alert","","","","Given Launch app",""
"passed","Tue May 02 16:28:10 IST 2023","Tue May 02 16:28:19 IST 2023","8255","","Alerts verification: Verify different kinds of alert","","","","When I go to App Menu and then Alert Dialogues submenu",""
"passed","Tue May 02 16:29:12 IST 2023","Tue May 02 16:29:15 IST 2023","3142","","Alerts verification: Verify different kinds of alert","","","","And I click on OK Cancel dialog with ultra long message",""
